Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Xplicit Ink Tattoos,5.0,7,https://xplicitinktattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 65 856 1849,18 Arun St - Riverlea - Johannesburg - 2093 - South Africa,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 6p.m.,Closed
Concepto Ink,4.8,6,,+27 83 531 9734,440 Louis Botha Ave - Highlands North - Johannesburg - 2192 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 6p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,10a.m. - 5:30p.m.
Cobra Ink,4.5,4,,+27 74 248 6582,23 - Fashion Kapitol - 130 Pritchard St - Hillbrow - Johannesburg - 2038 - South Africa,,,,,,,
The Tattoo Gallery,4.7,29,https://www.thetattoogallery.co.za/,+27 11 794 3821,Upper Level - Shop 14 Honey Crest Shopping Centre - Beyers Naud̩ Dr & - Duiker Ave - Randpark Ridge - Johannesburg - 2156 - South Africa,Closed,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.
Hand Of Mysteries Tattoo,4.9,46,heartandhandtattoos.com,,Shop 20 - Devon Valley Centre - 122 9th Ave - Weltevredenpark - Johannesburg - 2030 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Wayne'S Tattoos,4.7,60,,+27 11 682 3798,Comaro Shopping Center - Comaro St - Bassonia - Johannesburg South - 2190 - South Africa,,,,,,,
Sorry Mom Tattoo Art Studio,4.8,87,sorrymomtattoos.co.za,+27 71 674 6801,Shop UL22 - Lonehill Shopping Centre - Lonechill Blvd - Lone Hill - Johannesburg - 2062 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 4p.m.,9a.m. - 1p.m.
Emerald Rain Tattoos,4.7,9,emeraldraintattoos.com,+27 73 580 4842,39 Gleneagles Rd - Greenside - Randburg - 2195 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
Tattoo'S By Mr Dee'S,4.0,12,,+27 82 526 0333,Shop No. 2 - Northcliff Corner Shopping Centre - Beyers Naude Dr - Northcliff - Johannesburg - 2123 - South Africa,,,,,,,
Buzz Inc Tattoo Studio,5.0,81,buzztattoo.co.za,+27 83 355 5537,All Saints Centre - Windsor Way - Olivedale - Johannesburg - 1709 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Rising Dragon Tattoo,4.6,178,risingdragontattoo.co.za,+27 73 314 0437,64 Crawford Dr - Douglasdale - Johannesburg - 2191 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Black Hat Tattoos,5.0,2,,+27 68 272 0660,48 Sussex Rd - Parkwood - Johannesburg - 2193 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Rumble And Hum Tattoo,4.8,250,rumbleandhum.com,+27 66 150 8123,Shop 25 - Town square Shopping centre - Weltevredenpark - Johannesburg - 1709 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed
Ink Pride Tattoos And Piercing,5.0,1,inkpridetattoos.co.za,+27 83 404 7804,280 Corlett Dr - Corlett Gardens - Johannesburg - 2018 - South Africa,,,,,,,
Exclusive Ink,5.0,22,exclusiveink.co.za,+27 63 143 9624,Cramerview Centre - 277 Main Rd - Bryanston - Johannesburg - 2060 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 2p.m.,Closed
Ross Ink Tattoos,4.8,75,,+27 82 904 3864,339 Jan Smuts Ave - Craighall Park - Randburg - 2196 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.
Migration Tattoos,5.0,20,,+27 61 448 6059,0B 5th St - Florida Glen - Johannesburg - 0157 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Geoff Squires Tattoos,5.0,69,geoffsquirestattoos.co.za,+27 84 847 9527,90 Palliser Rd - Eastleigh - Edenvale - 1609 - South Africa,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,Closed
Blackneedle_Sa,5.0,4,https://blackneedle-sa.business.site/?utm_source=gmb&utm_medium=referral,+27 81 787 4171,97 Commissioner St - Marshalltown - Johannesburg - 2000 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Timeless Electric,,,,+27 83 655 2297,70 Juta St - Braamfontein - Johannesburg - 2000 - South Africa,,,,,,,
Customized Tattoos,4.0,7,https://ubetabeliveit.wixsite.com/customizedtattoos,,Johannesburg 22 blue crane nest Johannesburg Honeydew - 2118 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 3p.m.,12 - 3p.m.
Sa Tattoo Supply,4.2,5,satattoosupply.co.za,+27 79 865 0882,53 Dunvegan St - Sydenham - Johannesburg - 2192 - South Africa,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,Closed,Closed
Be Kind Tattooing,5.0,32,bekindtattooing.co.za,+27 72 193 2651,7 Susman Ave - Blairgowrie - Johannesburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed
Royal Ink_Sa,4.8,37,,+27 61 345 7949,83 Linksfield Rd - Dowerglen - Edenvale - 1612 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 4p.m.,Closed
True Love Tattoo,5.0,26,,+27 10 495 6014,Shop no. 9 Linden Square Shopping Centre - Corner of 4th Avenue and - 8th St - Randburg - 2193 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed
Adam'S Eden Tattoos,5.0,62,,+27 71 493 5480,12 Emma St - Eden Glen - Edenvale - 1609 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed
Little California Tattoo & Music Studio,5.0,7,littlecalifornia.co.za,+27 64 631 6469,2 Tyrwhitt Ave - Rosebank - Johannesburg - 2196 - South Africa,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,11a.m. - 5p.m.
Desidera Tattoo,4.9,16,https://www.instagram.com/desideratattoo/,+27 79 692 6852,Unit 1 Delta Heights - 94 Conrad Dr - Blairgowrie - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Inkspiration Tattoos,5.0,1,,+27 76 254 8385,83 Donnelly St - Turffontein - Johannesburg South - 2091 - South Africa,,,,,,,
Inkasi Tattoo,4.7,123,https://www.facebook.com/inKasiTattoo/,+27 81 500 0359,10680 Bhele St - Pimville Zone 1 - Soweto - 1809 - South Africa,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.
Purple Dragon,4.9,41,,+27 76 880 0961,31 - Mindalore - Johannesburg - 1739 - South Africa,,,,,,,
The Golden Tiki,4.8,31,https://goldentiki.co.za/,+27 82 619 6055,60 4th Ave - Linden - Randburg - 2104 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Souza Super Naturals,,,,+27 72 205 6055,UNIT 2 - 19 Henri St - Braamfontein - Johannesburg - 2000 - South Africa,,,,,,,
Basiaink,5.0,1,https://www.facebook.com/basiaINK,+27 74 207 5189,67 Grant Ave - Norwood - Johannesburg - 2192 - South Africa,8a.m. - 5p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,2 - 6p.m.
Assari Tattoo Studio,4.8,59,https://www.assaritattoostudio.com/,+27 76 964 6193,Assari Tattoo Studio Stoneridge Dr & - Greenstone Pl - Greenstone Hill - Modderfontein - 1609 - South Africa,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.
Da Time Machine Studios,,,,+27 10 410 5497,11 Broad St - Park Central - Johannesburg - 2001 - South Africa,10a.m. - 12a.m.,Closed,Closed,Closed,Closed,Closed,Closed
Fantasy Tattoos,4.9,22,,+27 82 804 4834,Cnr Jochem Van Bruggen and Nelson Mandela Ave Opposite Lua Cafe Grey business complex - Alberton - 1449 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 5p.m.,9a.m. - 2p.m.
Tattoo Styles,4.6,39,tattoostyles.co.za,+27 82 415 6023,55 Van Buuren Rd - Bedfordview - Germiston - 2007 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,Closed
Beneath The Surface,4.7,42,beneaththesurface.co.za,+27 79 648 3566,Merrow down plaza - 71 troupant Avenue Magaliessig - Fourways - Johannesburg - 2191 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,Closed
Bong'S Tattos,4.2,6,,+27 74 551 9787,275 Odendaal Rd - Meadowlands - Johannesburg - 1852 - South Africa,,,,,,,
Blackrose Tattoos,4.9,56,blackrosetattoos.co.za,+27 72 114 3252,12 Ebbehout St - Sharonlea - Randburg - 2194 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.
Bigmike Tattoos,5.0,2,,+27 60 525 1362,Plaza Brd Road - Florida - Johannesburg - 2001 - South Africa,,,,,,,
The Painted Lady Tattoo,4.7,100,,+27 11 783 9991,72 11th St - Parkmore - Sandton - 2196 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
V.I.P Tattoo Crew,5.0,2,,+27 71 361 0998,14a Kloof Road Oriel - Bedfordview - Johannesburg - 2007 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Steamed Rabbit Tattoos,4.9,44,steamedrabbit.co.za,+27 79 638 2741,The Tattoo Gallery Honeycrest Shopping Center - Randpark Ridge - Johannesburg - 2169 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Jenny'S Tattoos & Body Piercing,4.8,232,jennystattoos.co.za,+27 82 856 3110,Shop 3 The Lemon Tree Shopping Center Ascott road cnr. Swartkoppies & Heidelberg road Newmarket - Alberton - 1449 - South Africa,Closed,9a.m. - 3p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.,8a.m. - 12p.m.,Closed
Havana Tattoo Lounge,5.0,8,,+27 79 506 1898,,,,,,,,
Linkup Inkup Tattoo And Body Piercing Studios,5.0,1,https://linkup-inkup-tattoo-and-body-piercing.business.site/?utm_source=gmb&utm_medium=referral,+27 78 106 5176,69 Raleigh St - Yeoville - Johannesburg - 0027 - South Africa,8a.m. - 7:30p.m.,Closed,8a.m. - 7:30p.m.,8a.m. - 7:30p.m.,8a.m. - 7:30p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.
Brand Tattoo,4.2,5,brandtattoo.co.za,+27 11 835 3067,5 4th St - Booysens Reserve - Johannesburg South - 2091 - South Africa,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,Closed,Closed
Inklings Private Tattoo Studio,,,,,6th Ave - Highlands North - Johannesburg - 2192 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed
Jaded Ink,4.8,105,jadedink.co.za,+27 11 658 1736,above Portuguese Restaurant - Northlands Corner - cnr Witkoppen & New Market Road Shop F5C - 1st Floor - Hoogland - Randburg - 2194 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 1p.m.
Ink Steyn Tattoo Studio,5.0,1,,+27 76 392 5111,Bedfordview - 33 St Christopher Rd - St Andrews - Johannesburg - 2007 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Autumn Tattoo Studio,5.0,34,,+27 81 311 6500,22 Valley Rd - Bordeaux - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Kustom Ink,4.3,85,kustomink.co.za,+27 64 673 7034,22 St Andrews Ave - Bordeaux - Randburg - 2194 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
Shadow Line Tattoos,4.5,84,,+27 73 628 0875,Shop 14 - Noordheuwel Mall - 110 Van Oordt St - Krugersdorp - Johannesburg - 1734 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,10a.m. - 5p.m.
420 Ink Sa,4.8,18,https://420inksa.business.site/,,Randview Shopping Centre - Jan Smuts - corner Republic Rd - Randburg - 2031 - South Africa,Closed,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.
Ajayink Tattoos,,,https://ajayink-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 81 306 5664,42 Alexandra St - Berea - Johannesburg - 2001 - South Africa,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.
Sheknows Ink Tattoo Studio,4.9,90,https://www.facebook.com/sheknowsink,+27 76 421 1063,93 Bram Fischer Dr - Ferndale - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Awhe Tattoo & Lifestyle Studio,4.9,245,awhetattoo.co.za,+27 72 248 0092,100 Elizabeth Rd - El Ridge Office Park D5 - Bartlett - Boksburg - 1460 - South Africa,9a.m. - 6p.m.,9a.m. - 10p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.
Levitation Tattoo,5.0,19,levitationtattoo.co.za,+27 63 164 8842,51 Highcliff Way - Northcliff - Randburg - 2195 - South Africa,9a.m. - 5p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,Closed
Manne Ink,,,https://manne-ink.business.site/?utm_source=gmb&utm_medium=referral,+27 67 776 7592,46 Biccard St - Braamfontein - Johannesburg - 2000 - South Africa,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.
Evil Ink Tattoos,4.8,9,,+27 73 373 5897,28 Hoeveld Rd - Ruimsig - Honeydew - 1724 - South Africa,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,9a.m. - 6p.m.,Closed
Tattoo Maniacs Jhb,5.0,4,business.site,+27 67 321 8403,73 Field Rd - Witfield - Johannesburg - 1460 - South Africa,,,,,,,
Inkgenics,4.9,53,https://inkgenics.co.za/,+27 82 887 7040,56 Aletta Ave - Highway Gardens - Edenvale - 1609 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.
L'Encre Tattoo Studio,5.0,2,https://lencre1609tattoo.wixsite.com/lecre,+27 60 957 4595,16 Cecil Awret Rd - Edenvale - Johannesburg - 1609 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,11a.m. - 2p.m.,Closed
Tattiki Tattoo,,,,+27 11 824 4357,South Rd - Linden - Johannesburg - 2104 - South Africa,,,,,,,
Top 2 Bottom Tattoo Co.,5.0,1,,+27 84 025 2022,78 3rd Ave - Linden - Johannesburg - 2195 - South Africa,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 2:30p.m.,Closed
Body Of Gold Tattoos,,,,+27 76 449 6557,,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,11a.m. - 11p.m.,11a.m. - 11p.m.
Razztatt Ink Tattoos,,,,+27 79 965 3635,36 Arbedene Street Westdene - Brixton - Johannesburg - 2291 - South Africa,Closed,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 9a.m.,11a.m. - 9a.m.
Quidink Tattoos,5.0,5,https://quidinktattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 79 119 9561,15 Cosmos Ave - Linden - Randburg - 2104 - South Africa,10a.m. - 10:30p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.
Alberante Ink (Tattoo Saloon),5.0,13,https://www.facebook.com/tattoosaloon.co.za?_rdc=1&_rdr,+27 73 175 1024,11 Meredy St - Randhart - Alberton - 1457 - South Africa,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Inksane Tattoos And Body Piercings,,,,+27 63 078 3006,Ottawa mall - 94 Helen Joseph St - Johannesburg - 2001 - South Africa,,,,,,,
Rose Gold Tattoos,5.0,16,facebook.com,+27 82 829 0323,11 Hennie Alberts St - Brackenhurst - Alberton - 1448 - South Africa,Closed,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,Closed
Greedy Bear Tattoos,4.7,27,,+27 84 424 1717,818 Dhlomo Ln - Mofolo Central - Soweto - 1801 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 6p.m.
Godrich Inkz Tattoos,5.0,4,,+27 61 446 9358,39 butshingi Orlando west soweto - Johannesburg - 1804 - South Africa,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 6p.m.
The Goth Spot,5.0,13,thegothspot.com,+27 65 691 3800,3 1st Rd - Greymont - Randburg - 2195 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Kyle B Tattoo,,,,,249 Barry Hertzog Ave - Emmarentia - Randburg - 2195 - South Africa,,,,,,,
The Burrow Tattoo Studio,,,https://www.instagram.com/jackelopeart/,+27 71 872 1019,60 Davidson St - Fairland - Johannesburg - 2030 - South Africa,"9a.m. - 2p.m., 4 - 11p.m.","9a.m. - 2p.m., 4 - 11p.m.","9a.m. - 2p.m., 4 - 11p.m.","9a.m. - 2p.m., 4 - 11p.m.",9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.
Cobra Kc Tattoos (Ckct),4.9,14,,+27 83 293 8390,Gemelli - Main Rd - Bryanston - Sandton - South Africa,Closed,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.
Soulstice Ink,5.0,1,https://www.instagram.com/soulstice.ink/,+27 64 909 2482,43 Niven Ave - Douglasdale - Johannesburg - 2191 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5a.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Last Tem'Tation Tattoos,4.1,14,,+27 71 779 2923,2574 Motloung Section - masakane street - katlehong - johannesburg - 1431 - South Africa,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 7p.m.
First Light Tattoo,,,firstlighttattoo.co.za,+27 82 080 6064,,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,Closed
Blake'S Tattoos,2.0,1,,+27 61 706 2205,23 Frederick Cooper Dr - Kenmare - Johannesburg - 2001 - South Africa,8p.m. - 12a.m.,12a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.
Playas Ink,,,,+27 11 432 4056,19 Vorster Ave - Glenanda - Johannesburg - 2091 - South Africa,,,,,,,
Dark Side Tattoo Collective,5.0,2,,,3 Andre St - Glenanda - Johannesburg South - 2091 - South Africa,,,,,,,
Tattoo Innovation/Acat Tattoo Gods & Shian Tattoos,5.0,3,,+27 72 217 4297,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed
Romans Tattoo And Piercing,4.8,97,romanstattoo.co.za,+27 76 373 7380,Shop A23 Northview Shopping center Northriding - Northriding - 2188 - South Africa,Closed,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.
B. Ink,,,https://msha.ke/b.ink/,+27 78 118 9076,33Ave - Goldman St - Florida - Johannesburg - 1709 - South Africa,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed,10a.m. - 4p.m.
First Light Tattoo,,,firstlighttattoo.co.za,+27 82 080 6064,8th Ave - Melville - Johannesburg - 2092 - South Africa,,,,,,,
La Tattoos Chris,4.8,45,,+27 78 210 7257,973 Plaza Rd - Florida - Roodepoort - 1709 - South Africa,,,,,,,
Royal Tattoos (Pty) Ltd,4.7,17,https://royal-tattoos-and-smokers.business.site/?utm_source=gmb&utm_medium=referral,+27 83 566 5126,Cemetery Rd - Bram Fischerville - Soweto - 1875 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Kevins Kustom Tattoo,5.0,1,,+27 11 782 9542,Shop 14 Northcliff Square - Cnr Beyers Naude & Milner Road - Northcliff - Randburg - 2195 - South Africa,,,,,,,
Tattoo Addict,4.7,34,tattooaddict.co.za,+27 61 982 2069,,8:30a.m. - 4:30p.m.,8:30a.m. - 4:30p.m.,8:30a.m. - 4:30p.m.,8:30a.m. - 4:30p.m.,8:30a.m. - 3p.m.,Closed,Closed
Drip Ink Tattoo Salon,2.0,1,https://drip-ink-tattoo-salon.business.site/?utm_source=gmb&utm_medium=referral,+27 64 423 5983,3129 Khowane THOKOZA - Everest Section - Johannesburg - Alberton - 1426 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Melanin Black Tattoos And Body Piercings,5.0,2,https://www.instagram.com/kgosicanfly/,+27 63 620 2167,26 Bream St - Gillview - Johannesburg - 2091 - South Africa,Closed,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,Closed
Bold Ronin Tattoo And Piercing,,,boldronin.co.za,+27 64 673 7989,Kliprivier Dr - Mulbarton - Johannesburg - 2190 - South Africa,Closed,Closed,Closed,Closed,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.
Kid-T Ink Tattoos,,,,+27 62 377 2892,,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
The Tattoo Studio,,,,,18D Derrick Ave - Cyrildene - Johannesburg - 2198 - South Africa,,,,,,,
Ravayjah Tattoos,4.7,3,,+27 61 927 1400,2544 Selborne St - Alexandra - 2014 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Rockville Ink Tattoos,4.5,2,,+27 73 577 4535,1866 Mohobe St - Moroka - Soweto - 1818 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
